
//item.food|bottle
	"item.bottle.empty"=>	"бутылка|1|5|0|0|",
"npc.Raksha"=>array(
	"title"=>"Ракша [торговка]",
	"life"=>"1000",
	"life_max"=>"1000",
	"speak"=>"npc.Raksha",
	"war"=>"60|1|3|4|0|0|5|0|0|0|0|0|врукопашную|0||",
	),
"npc.Arant"=>array(
	"title"=>"Арант [торговец]",
	"life"=>"1000",
	"life_max"=>"1000",
	"speak"=>"npc.Arant",
	"war"=>"60|6|9|4|0|0|5|0|0|0|0|0|врукопашную|0||",
	),
"npc.Milta"=>array(
	"title"=>"Милта [торговец]",
	"life"=>"1000",
	"life_max"=>"1000",
	"speak"=>"npc.Milta",
	"war"=>"60|6|9|4|0|0|5|0|0|0|0|0|врукопашную|0||",
	),
"npc.Frederik"=>array(
	"title"=>"Фредерик [торговец]",
	"life"=>"1000",
	"life_max"=>"1000",
	"speak"=>"npc.Frederik",
	"war"=>"60|2|4|4|0|0|5|0|0|0|0|0|врукопашную|0||",
	),
"npc.Surri"=>array(
	"title"=>"Сурри",
	"life"=>"1000",
	"life_max"=>"1000",
	"speak"=>"npc.Surri",
	"war"=>"60|1|4|4|0|0|5|0|0|0|0|0|врукопашную|0||",
	),
"npc.Sirs"=>array(
	"title"=>"Сирс",
	"life"=>"1000",
	"life_max"=>"1000",
	"speak"=>"npc.Sirs",
	"war"=>"60|1|4|4|0|0|5|0|0|0|0|0|врукопашную|0||",
	),
"npc.Markus"=>array(
	"title"=>"Маркус",
	"life"=>"1000",
	"life_max"=>"1000",
	"speak"=>"npc.Markus",
	"war"=>"90|7|9|4|0|0|5|0|0|0|0|0|врукопашную|0||",
	),
"npc.Sloven"=>array(
	"title"=>"Словен [торговец]",
	"life"=>"1000",
	"life_max"=>"1000",
	"speak"=>"npc.Sloven",
	"war"=>"60|4|6|4|0|0|5|0|0|0|0|0|врукопашную|0||",
	),
"npc.Yan"=>array(
	"title"=>"Ян [охотник]",
	"life"=>"1000",
	"life_max"=>"1000",
	"speak"=>"npc.Yan",
	"war"=>"60|4|13|4|0|0|5|0|0|0|0|0|луком|0||",
	),
"npc.Leksli"=>array(
	"title"=>"Лексли",
	"life"=>"1000",
	"life_max"=>"1000",
	"speak"=>"npc.Leksli",
	"war"=>"80|4|7|4|0|0|5|0|0|0|0|0|врукопашную|0||",
	),
"npc.Batist"=>array(
	"title"=>"Батист",
	"life"=>"1000",
	"life_max"=>"1000",
	"speak"=>"npc.Batist",
	"war"=>"70|3|6|4|0|0|5|0|0|0|0|0|врукопашную|0||",
	),
"npc.Djon"=>array(
	"title"=>"Джон",
	"life"=>"1000",
	"life_max"=>"1000",
	"speak"=>"npc.Djon",
	"war"=>"60|0|4|4|0|0|5|0|0|0|0|0|врукопашную|0||",
	),
"npc.Gregg"=>array(
	"title"=>"Грегг",
	"life"=>"1000",
	"life_max"=>"1000",
	"speak"=>"npc.Gregg",
	"war"=>"60|4|6|4|0|0|5|0|0|0|0|0|врукопашную|0||",
	),
"npc.Stoun"=>array(
	"title"=>"Стоун",
	"life"=>"1000",
	"life_max"=>"1000",
	"speak"=>"npc.Stoun",
	"war"=>"60|3|4|4|0|0|5|0|0|0|0|0|врукопашную|0||",
	),
"npc.Silvio"=>array(
	"title"=>"Сильвио [торговец]",
	"life"=>"1000",
	"life_max"=>"1000",
	"speak"=>"npc.Silvio",
	"war"=>"60|3|9|4|0|0|5|0|0|0|0|0|врукопашную|0||",
	),
"npc.Franchesko"=>array(
	"title"=>"Франческо",
	"life"=>"1000",
	"life_max"=>"1000",
	"speak"=>"npc.Franchesko",
	"war"=>"60|3|9|4|0|0|5|0|0|0|0|0|врукопашную|0||",
	),
"npc.Djoshua"=>array(
	"title"=>"Джошуа [торговец]",
	"life"=>"1000",
	"life_max"=>"1000",
	"speak"=>"npc.Djoshua",
	"war"=>"40|1|4|4|0|0|5|0|0|0|0|0|врукопашную|0||",
	),
"npc.Klavdius"=>array(
	"title"=>"Клавдиус",
	"life"=>"1000",
	"life_max"=>"1000",
	"speak"=>"npc.Klavdius",
	"war"=>"40|1|4|4|0|0|5|0|0|0|0|0|врукопашную|0||",
	),
"npc.Antonio"=>array(
	"title"=>"Антонио",
	"life"=>"1000",
	"life_max"=>"1000",
	"speak"=>"npc.Antonio",
	"war"=>"60|4|9|4|0|0|5|0|0|0|0|0|врукопашную|0||",
	),
"npc.Serpent"=>array(
	"title"=>"Серпент",
	"life"=>"1000",
	"life_max"=>"1000",
	"speak"=>"npc.Serpent",
	"war"=>"60|4|9|4|0|0|5|0|0|0|0|0|врукопашную|0||",
	),
"npc.Milton"=>array(
	"title"=>"Мильтон",
	"life"=>"1000",
	"life_max"=>"1000",
	"speak"=>"npc.Milton",
	"war"=>"60|4|9|4|0|0|5|0|0|0|0|0|врукопашную|0||",
	),
"npc.Raks"=>array(
	"title"=>"Ракс [кузнец]",
	"life"=>"1000",
	"life_max"=>"1000",
	"speak"=>"npc.Raks",
	"war"=>"80|8|11|4|0|0|5|0|0|0|0|0|врукопашную|0||",
	),
"npc.Silt"=>array(
	"title"=>"Силт [торговец]",
	"life"=>"1000",
	"life_max"=>"1000",
	"speak"=>"npc.Silt",
	"war"=>"80|5|6|4|0|0|5|0|0|0|0|0|врукопашную|0||",
	),
"npc.Plant"=>array(
	"title"=>"Плант [торговец]",
	"life"=>"1000",
	"life_max"=>"1000",
	"speak"=>"npc.Plant",
	"war"=>"80|9|13|4|0|0|5|0|0|0|0|0|мечом|0||",
	),
